Molecule,State,is_primary,conformer,energy,opt_success,no_imaginary,homo,lumo,homo_lumo_gap,dipole,max_positive_charge,max_negative_charge,charge_spread,avg_charge,crest_num_conformers,crest_energy_range,crest_energy,crest_population,excited_energy,excited_opt_success,excited_homo,excited_lumo,excited_homo_lumo_gap,excitation_energy_ev,gap_ev,energy_diff_from_neutral,homo_num,lumo_num,gap_calculated,conformational_flexibility,energy_diversity,charge_polarity,charge_intensity,has_nh2,has_oh,has_cn,has_me,has_f,is_ring,is_neutral,is_cation,is_triplet,is_primary_num,molecular_complexity,ring_count,has_5ring,has_3ring,has_7ring,has_in_group,has_out_group,has_both_groups,has_cn_alt,cn_count,has_nh2_alt,nh2_count,has_oh_alt,oh_count,has_me_alt,me_count,has_f_alt,f_count,has_sh,sh_count,has_bh2,bh2_count,has_cf3,cf3_count,has_no2,no2_count,has_ome,ome_count,has_nme2,nme2_count,has_nph3,nph3_count,has_nn+,nn+_count,total_substituents,structural_complexity,estimated_size,estimated_polarity,estimated_hydrophobicity,electron_donating_effect,electron_withdrawing_effect,net_electronic_effect,estimated_conjugation,planarity_index,homo_polarity,lumo_electronic_effect,gap_conjugation,energy_per_size,dipole_planarity,s1_t1_gap_ev,is_negative_gap
5ring_nph3_3ring_NO,neutral,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,15.0,1.0,3.0,1.5,0.1,1.4,8.0,1.0,,,,,0.0,,0
5ring_nph3_3ring_NO,cation,True,conf_2,-1360.7573716,True,True,-4.933154706000001,-3.4286364000000003,1.5045183060000002,,,,,,7.0,4334.83,458.71,0.0,,,,,,,,,-4.933154706000001,-3.4286364000000003,1.5045183060000005,2.079441541679836,8.374668335708815,,,0,0,0,0,0,1,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,15.0,1.0,3.0,1.5,0.1,1.4,8.0,1.0,-4.933154706000001,-4.80009096,0.1671685149238723,-90.71715810666666,0.0,0.25135549180000005,0
5ring_nph3_3ring_NO,triplet,True,conf_8,-1360.9369041,True,True,-4.4452543040000005,0.0152383839999999,4.460492688,,,,,,,,,,,,,,,,,,-4.4452543040000005,0.0152383839999999,4.460492688,,,,,0,0,0,0,0,1,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,15.0,1.0,3.0,1.5,0.1,1.4,8.0,1.0,-4.4452543040000005,0.0213337375999998,0.4956097479891689,-90.72912694,0.0,1.1381478064000001,0
5ring_nh2_3ring_cn_both,neutral,True,conf_5,-713.7671916,True,False,-4.244434172,-3.0136625500000003,1.2307716220000002,,0.144525,-0.356696,0.501221,-4.166666666323889e-08,5.0,1926.45,1926.45,0.0,-713.749371282,False,-3.5867346340000004,-3.0136625500000003,0.5730720840000003,0.48491580122728,,0.0,-4.244434172,-3.0136625500000003,1.2307716219999998,1.791759469228055,7.563953164763804,0.501221,0.501221,1,0,1,0,0,1,1,0,0,1,3,2,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.5,6.5,-3.0,2.0,3.0,-1.0,11.0,4.0,-27.588822118,3.0136625500000003,0.102564216363153,-62.06671231304348,0.0,0.16923148660000004,0
5ring_nh2_3ring_cn_both,cation,True,conf_1,-713.6533526,True,True,-4.7350557140000005,-3.4003365440000004,1.33471917,,,,,,1.0,0.0,0.0,100.0,,,,,,,,0.1138390000000981,-4.7350557140000005,-3.4003365440000004,1.33471917,0.6931471805599453,0.0,,,1,0,1,0,0,1,0,1,0,1,3,2,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.5,6.5,-3.0,2.0,3.0,-1.0,11.0,4.0,-30.777862141000004,3.4003365440000004,0.111226504811246,-62.05681326956521,0.0,0.20041575099999998,0
5ring_nh2_3ring_cn_both,triplet,True,conf_1,-713.7839344,True,True,-4.094227244000001,-1.26805124,2.826176004,,,,,,2.0,458.08,0.0,100.0,,,,,,,-0.4555950279193067,-0.0167427999999745,-4.094227244000001,-1.26805124,2.826176004000001,1.0986122886681098,6.129224486812468,,,1,0,1,0,0,1,0,0,1,1,3,2,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.5,6.5,-3.0,2.0,3.0,-1.0,11.0,4.0,-26.612477086000005,1.26805124,0.2355144707379411,-62.06816820869565,0.0,0.6478528012,0
5ring_nme2_3ring_cn_in_con2,neutral,True,conf_1,-760.2395763,True,True,-4.530153872,-3.424010462,1.1061434099999998,,0.169068,-0.29358,0.462648,3.1249999997646015e-08,4.0,1574.42,0.0,100.0,-760.228592265,False,,,,0.298890969998417,,0.0,-4.530153872,-3.424010462,1.1061434099999996,1.6094379124341005,7.362277182377165,0.462648,0.462648,0,0,1,1,0,1,1,0,0,1,4,2,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,5,14.0,5.7,0.5,2.5,3.0,-0.5,11.0,3.0,-25.8218770704,1.712005231,0.0921785406845493,-54.30282687857142,0.0,0.13184302299999995,0
5ring_nme2_3ring_cn_in_con2,cation,True,conf_2,-760.1086049,True,True,-4.869207916,-3.86129766,1.0079102559999995,,,,,,3.0,2219.5,687.12,0.0,,,,,,,,0.1309713999999076,-4.869207916,-3.86129766,1.0079102559999995,1.3862943611198906,7.705487674732157,,,0,0,1,1,0,1,0,1,0,1,4,2,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,5,14.0,5.7,0.5,2.5,3.0,-0.5,11.0,3.0,-27.7544851212,1.93064883,0.0839924513396238,-54.29347177857143,0.0,0.10237307679999985,0
5ring_nme2_3ring_cn_in_con2,triplet,True,conf_4,-760.2552532,True,True,-4.546480712,-1.656357918,2.8901227940000003,,,,,,4.0,1763.93,1763.93,0.0,,,,,,,-0.426590396660456,-0.0156769000000167,-4.546480712,-1.656357918,2.890122794,1.6094379124341005,7.475866308524259,,,0,0,1,1,0,1,0,0,1,1,4,2,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,5,14.0,5.7,0.5,2.5,3.0,-0.5,11.0,3.0,-25.914940058400003,0.828178959,0.2408433654638621,-54.30394665714285,0.0,0.6670368382,0
5ring_nph3_3ring_CN,neutral,True,conf_18,-1286.8484563,True,True,-5.512485412,-2.80005306,2.7124323520000004,,0.62916,-0.401343,1.030503,1.4456028966473393e-18,18.0,4948.54,4948.54,0.0,-1286.8314756,True,-5.283637538000001,-2.80005306,2.483584478,0.4620686199793584,,0.0,-5.512485412,-2.80005306,2.712432352,2.9444389791664403,8.507049921951612,1.030503,1.030503,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,17.0,4.5,2.0,1.5,3.0,-1.5,10.0,1.0,-24.806184354000003,4.2000795900000005,0.246584535104968,-75.69696801764705,0.0,0.6137297056000002,0
5ring_nph3_3ring_CN,cation,True,conf_4,-1286.6435404,True,False,-4.807165924,-3.124412948,1.6827529760000002,,,,,,7.0,2998.87,899.22,0.0,,,,,,,,0.20491590000006,-4.807165924,-3.124412948,1.6827529760000006,2.079441541679836,8.006324233377997,,,0,0,0,0,0,1,0,1,0,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,17.0,4.5,2.0,1.5,3.0,-1.5,10.0,1.0,-21.632246658000003,4.686619422,0.1529774042023599,-75.68491414117646,0.0,0.3048258928,0
